ModelNumber;Timestamp;NumEpochs;ValAccuracy;NumParams;NumBytes;NumFiltersPerLayer;DenseLayerSize;LearningRate;DropoutRate;PoolingType;FilterSize;PaddingType;ActivationFunction;Regularization;OptimizationAlgorithm
104;2020-09-13 09:21:01;33;0.6287500262260437;44810;256; (32, 32, 32, 32); 32; 0.01; 0.5; max; 3; same; relu; l2; adam
105;2020-09-13 09:23:33;22;0.7875624895095825;44810;256; (32, 32, 32, 32); 32; 0.005; 0.05; max; 3; same; relu; l2; adam
106;2020-09-13 09:26:37;27;0.7905625104904175;44810;256; (32, 32, 32, 32); 32; 0.005; 0.1; max; 3; same; relu; l2; adam
107;2020-09-13 09:29:01;21;0.7876250147819519;44810;256; (32, 32, 32, 32); 32; 0.005; 0.2; max; 3; same; relu; l2; adam
108;2020-09-13 09:32:57;35;0.7841249704360962;44810;256; (32, 32, 32, 32); 32; 0.005; 0.5; max; 3; same; relu; l2; adam
109;2020-09-13 09:35:27;22;0.7914375066757202;44810;256; (32, 32, 32, 32); 32; 0.001; 0.05; max; 3; same; relu; l2; adam
110;2020-09-13 09:38:38;28;0.7940000295639038;44810;256; (32, 32, 32, 32); 32; 0.001; 0.1; max; 3; same; relu; l2; adam
111;2020-09-13 09:44:02;48;0.801562488079071;44810;256; (32, 32, 32, 32); 32; 0.001; 0.2; max; 3; same; relu; l2; adam
112;2020-09-13 09:47:59;35;0.7990000247955322;44810;256; (32, 32, 32, 32); 32; 0.001; 0.5; max; 3; same; relu; l2; adam
113;2020-09-13 09:52:35;41;0.7908750176429749;44810;256; (32, 32, 32, 32); 32; 0.0005; 0.05; max; 3; same; relu; l2; adam
114;2020-09-13 09:57:18;41;0.7905625104904175;44810;256; (32, 32, 32, 32); 32; 0.0005; 0.1; max; 3; same; relu; l2; adam
115;2020-09-13 10:02:55;49;0.792312502861023;44810;256; (32, 32, 32, 32); 32; 0.0005; 0.2; max; 3; same; relu; l2; adam
116;2020-09-13 10:08:37;50;0.7882500290870667;44810;256; (32, 32, 32, 32); 32; 0.0005; 0.5; max; 3; same; relu; l2; adam
117;2020-09-13 10:14:20;50;0.7478749752044678;44810;256; (32, 32, 32, 32); 32; 0.0001; 0.05; max; 3; same; relu; l2; adam
118;2020-09-13 10:20:02;50;0.7401875257492065;44810;256; (32, 32, 32, 32); 32; 0.0001; 0.1; max; 3; same; relu; l2; adam
119;2020-09-13 10:25:45;50;0.7196875214576721;44810;256; (32, 32, 32, 32); 32; 0.0001; 0.2; max; 3; same; relu; l2; adam
120;2020-09-13 10:31:25;50;0.6651250123977661;44810;256; (32, 32, 32, 32); 32; 0.0001; 0.5; max; 3; same; relu; l2; adam
121;2020-09-13 10:33:12;16;0.7236875295639038;37642;144; (32, 32, 32, 32); 32; 0.01; 0.05; max; 3; same; relu; l2; adam
122;2020-09-13 10:35:43;22;0.7431874871253967;37642;144; (32, 32, 32, 32); 32; 0.01; 0.1; max; 3; same; relu; l2; adam
123;2020-09-13 10:36:24;6;0.10000000149011612;37642;144; (32, 32, 32, 32); 32; 0.01; 0.2; max; 3; same; relu; l2; adam
124;2020-09-13 10:38:12;16;0.5618749856948853;37642;144; (32, 32, 32, 32); 32; 0.01; 0.5; max; 3; same; relu; l2; adam
125;2020-09-13 10:40:46;23;0.7940000295639038;37642;144; (32, 32, 32, 32); 32; 0.005; 0.05; max; 3; same; relu; l2; adam
126;2020-09-13 10:42:47;18;0.7743750214576721;37642;144; (32, 32, 32, 32); 32; 0.005; 0.1; max; 3; same; relu; l2; adam
127;2020-09-13 10:47:17;40;0.7921249866485596;37642;144; (32, 32, 32, 32); 32; 0.005; 0.2; max; 3; same; relu; l2; adam
128;2020-09-13 10:50:19;27;0.7703750133514404;37642;144; (32, 32, 32, 32); 32; 0.005; 0.5; max; 3; same; relu; l2; adam
129;2020-09-13 10:55:46;49;0.7904375195503235;37642;144; (32, 32, 32, 32); 32; 0.001; 0.05; max; 3; same; relu; l2; adam
130;2020-09-13 10:59:45;35;0.7906249761581421;37642;144; (32, 32, 32, 32); 32; 0.001; 0.1; max; 3; same; relu; l2; adam
131;2020-09-13 11:04:33;43;0.7964375019073486;37642;144; (32, 32, 32, 32); 32; 0.001; 0.2; max; 3; same; relu; l2; adam
132;2020-09-13 11:08:03;31;0.7952499985694885;37642;144; (32, 32, 32, 32); 32; 0.001; 0.5; max; 3; same; relu; l2; adam
133;2020-09-13 11:11:57;35;0.7801874876022339;37642;144; (32, 32, 32, 32); 32; 0.0005; 0.05; max; 3; same; relu; l2; adam
134;2020-09-13 11:15:37;32;0.7788749933242798;37642;144; (32, 32, 32, 32); 32; 0.0005; 0.1; max; 3; same; relu; l2; adam
135;2020-09-13 11:21:00;49;0.785937488079071;37642;144; (32, 32, 32, 32); 32; 0.0005; 0.2; max; 3; same; relu; l2; adam
136;2020-09-13 11:26:26;50;0.7844374775886536;37642;144; (32, 32, 32, 32); 32; 0.0005; 0.5; max; 3; same; relu; l2; adam
137;2020-09-13 11:31:55;50;0.7440000176429749;37642;144; (32, 32, 32, 32); 32; 0.0001; 0.05; max; 3; same; relu; l2; adam
138;2020-09-13 11:37:21;50;0.7338125109672546;37642;144; (32, 32, 32, 32); 32; 0.0001; 0.1; max; 3; same; relu; l2; adam
139;2020-09-13 11:42:55;50;0.7262499928474426;37642;144; (32, 32, 32, 32); 32; 0.0001; 0.2; max; 3; same; relu; l2; adam
140;2020-09-13 11:48:26;50;0.6770625114440918;37642;144; (32, 32, 32, 32); 32; 0.0001; 0.5; max; 3; same; relu; l2; adam
141;2020-09-13 12:14:22;22;0.7433124780654907;32522;64; (32, 32, 32, 32); 32; 0.01; 0.05; max; 3; same; relu; l2; adam
142;2020-09-13 12:16:49;22;0.7651875019073486;32522;64; (32, 32, 32, 32); 32; 0.01; 0.1; max; 3; same; relu; l2; adam
143;2020-09-13 12:18:15;13;0.7554374933242798;32522;64; (32, 32, 32, 32); 32; 0.01; 0.2; max; 3; same; relu; l2; adam
144;2020-09-13 12:19:47;14;0.6771875023841858;32522;64; (32, 32, 32, 32); 32; 0.01; 0.5; max; 3; same; relu; l2; adam
145;2020-09-13 12:22:33;25;0.7898749709129333;32522;64; (32, 32, 32, 32); 32; 0.005; 0.05; max; 3; same; relu; l2; adam
146;2020-09-13 12:25:17;25;0.7888749837875366;32522;64; (32, 32, 32, 32); 32; 0.005; 0.1; max; 3; same; relu; l2; adam
147;2020-09-13 12:27:37;21;0.7840625047683716;32522;64; (32, 32, 32, 32); 32; 0.005; 0.2; max; 3; same; relu; l2; adam
148;2020-09-13 12:29:57;21;0.7862499952316284;32522;64; (32, 32, 32, 32); 32; 0.005; 0.5; max; 3; same; relu; l2; adam
149;2020-09-13 12:31:51;17;0.7789999842643738;32522;64; (32, 32, 32, 32); 32; 0.001; 0.05; max; 3; same; relu; l2; adam
150;2020-09-13 12:36:18;40;0.7880625128746033;32522;64; (32, 32, 32, 32); 32; 0.001; 0.1; max; 3; same; relu; l2; adam
151;2020-09-13 12:39:05;25;0.785937488079071;32522;64; (32, 32, 32, 32); 32; 0.001; 0.2; max; 3; same; relu; l2; adam
152;2020-09-13 12:44:28;49;0.7918750047683716;32522;64; (32, 32, 32, 32); 32; 0.001; 0.5; max; 3; same; relu; l2; adam
153;2020-09-13 12:48:39;38;0.7802500128746033;32522;64; (32, 32, 32, 32); 32; 0.0005; 0.05; max; 3; same; relu; l2; adam
154;2020-09-13 12:53:27;43;0.7860000133514404;32522;64; (32, 32, 32, 32); 32; 0.0005; 0.1; max; 3; same; relu; l2; adam
155;2020-09-13 12:58:53;49;0.7851250171661377;32522;64; (32, 32, 32, 32); 32; 0.0005; 0.2; max; 3; same; relu; l2; adam
156;2020-09-13 13:04:25;50;0.7841249704360962;32522;64; (32, 32, 32, 32); 32; 0.0005; 0.5; max; 3; same; relu; l2; adam
157;2020-09-13 13:09:59;50;0.7369375228881836;32522;64; (32, 32, 32, 32); 32; 0.0001; 0.05; max; 3; same; relu; l2; adam
158;2020-09-13 13:15:35;50;0.7408750057220459;32522;64; (32, 32, 32, 32); 32; 0.0001; 0.1; max; 3; same; relu; l2; adam
159;2020-09-13 13:21:11;50;0.7239999771118164;32522;64; (32, 32, 32, 32); 32; 0.0001; 0.2; max; 3; same; relu; l2; adam
160;2020-09-13 13:26:44;50;0.7081249952316284;32522;64; (32, 32, 32, 32); 32; 0.0001; 0.5; max; 3; same; relu; l2; adam
161;2020-09-13 13:29:19;23;0.7458750009536743;29450;16; (32, 32, 32, 32); 32; 0.01; 0.05; max; 3; same; relu; l2; adam
162;2020-09-13 13:31:05;16;0.734000027179718;29450;16; (32, 32, 32, 32); 32; 0.01; 0.1; max; 3; same; relu; l2; adam
163;2020-09-13 13:33:25;21;0.7315624952316284;29450;16; (32, 32, 32, 32); 32; 0.01; 0.2; max; 3; same; relu; l2; adam
164;2020-09-13 13:35:46;21;0.7168124914169312;29450;16; (32, 32, 32, 32); 32; 0.01; 0.5; max; 3; same; relu; l2; adam
165;2020-09-13 13:39:07;30;0.7620624899864197;29450;16; (32, 32, 32, 32); 32; 0.005; 0.05; max; 3; same; relu; l2; adam
166;2020-09-13 13:41:46;24;0.7587500214576721;29450;16; (32, 32, 32, 32); 32; 0.005; 0.1; max; 3; same; relu; l2; adam
167;2020-09-13 13:43:48;18;0.7516250014305115;29450;16; (32, 32, 32, 32); 32; 0.005; 0.2; max; 3; same; relu; l2; adam
168;2020-09-13 13:46:34;25;0.7507500052452087;29450;16; (32, 32, 32, 32); 32; 0.005; 0.5; max; 3; same; relu; l2; adam
169;2020-09-13 13:49:14;24;0.7580000162124634;29450;16; (32, 32, 32, 32); 32; 0.001; 0.05; max; 3; same; relu; l2; adam
170;2020-09-13 13:53:44;40;0.7684375047683716;29450;16; (32, 32, 32, 32); 32; 0.001; 0.1; max; 3; same; relu; l2; adam
171;2020-09-13 13:57:59;38;0.7663124799728394;29450;16; (32, 32, 32, 32); 32; 0.001; 0.2; max; 3; same; relu; l2; adam
172;2020-09-13 14:02:28;40;0.7597500085830688;29450;16; (32, 32, 32, 32); 32; 0.001; 0.5; max; 3; same; relu; l2; adam
173;2020-09-13 14:07:01;41;0.7641249895095825;29450;16; (32, 32, 32, 32); 32; 0.0005; 0.05; max; 3; same; relu; l2; adam
174;2020-09-13 14:12:32;50;0.7630624771118164;29450;16; (32, 32, 32, 32); 32; 0.0005; 0.1; max; 3; same; relu; l2; adam
175;2020-09-13 14:16:53;39;0.7565000057220459;29450;16; (32, 32, 32, 32); 32; 0.0005; 0.2; max; 3; same; relu; l2; adam
176;2020-09-13 14:22:27;50;0.7495625019073486;29450;16; (32, 32, 32, 32); 32; 0.0005; 0.5; max; 3; same; relu; l2; adam
177;2020-09-13 14:28:03;50;0.7176874876022339;29450;16; (32, 32, 32, 32); 32; 0.0001; 0.05; max; 3; same; relu; l2; adam
178;2020-09-13 14:33:40;50;0.7213125228881836;29450;16; (32, 32, 32, 32); 32; 0.0001; 0.1; max; 3; same; relu; l2; adam
179;2020-09-13 14:39:16;50;0.7156875133514404;29450;16; (32, 32, 32, 32); 32; 0.0001; 0.2; max; 3; same; relu; l2; adam
180;2020-09-13 14:44:50;50;0.6943125128746033;29450;16; (32, 32, 32, 32); 32; 0.0001; 0.5; max; 3; same; relu; l2; adam
181;2020-09-14 07:21:42;16;0.6924375295639038;54026;400; (32, 32, 32, 32); 32; 0.01; 0.05; max; 3; same; relu; l2; adam
